                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.0534,                 0.7063,                 1.0546,                0.67071,                0.54891,                0.51632,                0.28611,                 1.3718,                0.80651,                 1.3095,              0.0003367,              0.0003367,              0.0003367
                     69,                 1.0593,                0.70376,                 1.0486,                 0.7077,                0.54786,                0.53794,                0.30346,                 1.3874,                 0.8177,                 1.3196,              0.0003268,              0.0003268,              0.0003268
                     70,                 1.0425,                0.69441,                 1.0446,                0.72503,                0.56235,                0.55117,                0.29561,                 1.4104,                0.82062,                 1.3113,              0.0003169,              0.0003169,              0.0003169
                     71,                 1.0513,                0.72477,                 1.0529,                 0.7212,                0.53383,                0.52619,                0.28839,                 1.3388,                0.82825,                 1.2932,               0.000307,               0.000307,               0.000307
                     72,                 1.0374,                0.67916,                 1.0401,                0.74459,                0.50443,                0.53233,                0.29391,                 1.3918,                 0.8099,                 1.3086,              0.0002971,              0.0002971,              0.0002971
                     73,                 1.0426,                0.69647,                 1.0446,                 0.7685,                0.51029,                0.51792,                0.28885,                 1.3638,                 0.8189,                 1.2972,              0.0002872,              0.0002872,              0.0002872
                     74,                  1.046,                0.69146,                 1.0504,                0.71404,                0.53524,                 0.5333,                0.29107,                 1.3445,                0.79418,                 1.2841,              0.0002773,              0.0002773,              0.0002773
                     75,                 1.0577,                0.71479,                 1.0529,                0.67618,                0.52651,                0.52492,                 0.2943,                 1.3258,                0.81316,                 1.2731,              0.0002674,              0.0002674,              0.0002674
                     76,                 1.0182,                0.67367,                 1.0367,                0.73558,                0.50434,                0.52725,                0.30037,                 1.3121,                0.78096,                 1.2741,              0.0002575,              0.0002575,              0.0002575
                     77,                 1.0384,                  0.691,                 1.0379,                0.72167,                0.51893,                0.52067,                0.29491,                 1.3468,                0.78724,                 1.2974,              0.0002476,              0.0002476,              0.0002476
                     78,                  1.005,                0.65984,                 1.0229,                 0.7113,                0.53853,                0.54782,                0.29718,                 1.3626,                0.81282,                 1.2982,              0.0002377,              0.0002377,              0.0002377
                     79,                 1.0127,                0.66679,                 1.0299,                0.53298,                0.52887,                0.51605,                0.29071,                  1.347,                0.79449,                 1.3077,              0.0002278,              0.0002278,              0.0002278
                     80,                  1.018,                0.68193,                 1.0371,                0.53797,                0.52027,                0.53502,                 0.3059,                 1.3603,                 0.7706,                 1.2887,              0.0002179,              0.0002179,              0.0002179
                     81,                0.97936,                0.64325,                 1.0159,                0.52395,                0.52541,                0.52812,                0.30034,                 1.3379,                0.77348,                  1.296,               0.000208,               0.000208,               0.000208
                     82,                 1.0113,                0.66318,                 1.0287,                0.57079,                0.48299,                0.53846,                0.29659,                 1.3725,                0.79334,                 1.2899,              0.0001981,              0.0001981,              0.0001981
                     83,                  1.004,                0.66491,                  1.027,                0.70637,                0.53695,                0.52986,                0.29659,                  1.373,                0.80973,                 1.3012,              0.0001882,              0.0001882,              0.0001882
